15000500 P-1-A-0040700508
15000025 P-1-A-0043000217
15000589 P-1-A-0003700467
15000964 P-1-A-0010300524
15000285 P-1-A-0020000293
15000368 P-1-A-0159900326
15000191 P-1-A-0022600065
15000322 P-1-A-0036100549
15000024 P-1-A-0092900752
15000596 P-1-A-0039800530
15000746 P-1-A-0180301613
15000384 P-1-A-0037200473
15000734 P-1-A-0134800061
15000950 P-1-A-0029100623
15000668 P-1-A-0015900182
15000133 P-1-A-0048400409
15000922 P-1-A-0055100579
15000801 P-1-A-0015800511
15000826 P-1-A-0058400096
15000230 P-1-A-0042500206
15000427 P-1-A-0032301539
15000912 P-1-A-0028400242
15000621 P-1-A-0003600449
15000013 P-1-A-0057800618
15000221 P-1-A-0003100206
15000149 P-1-A-0034300041
15000654 P-1-A-0058900124
15000469 P-1-A-0038600176
15000156 P-1-A-0014700519
15000477 P-1-A-0017300358
15000453 P-1-A-0043500214
15000897 P-1-A-0035900270
15000797 P-1-A-0004200594
15000118 P-1-A-0025300027
15000528 P-1-A-0022200191
15000286 P-1-A-0011100407
15000761 P-1-A-0017400005
15000059 P-1-A-0058901124
15000140 P-1-A-0000500129
15000495 P-1-A-0047400000
15000241 P-1-A-0043000613
15000550 P-1-A-0006400218
15000067 P-1-A-0027000470
15000102 P-1-A-0055800257
15000526 P-1-A-0040500373
15000686 P-1-A-0034400235
15000976 P-1-A-0111900674
15000898 P-1-A-0165800696
15000624 P-1-A-0023600598
15000987 P-1-A-0034300470
15000440 P-1-A-0022800382
15000704 P-1-A-0054700177
15000162 P-1-A-0154001791
15000959 P-1-A-0002500491
15000721 P-1-A-0009100044
15000827 P-1-A-0073501137
15000751 P-1-A-0020900465
15000805 P-1-A-0041101381
15000616 P-1-A-0017600299
15000997 P-1-A-0005000154
15000511 P-1-A-0041300463
15000798 P-1-A-0008200213
15000515 P-1-A-0092100472
15000646 P-1-A-0030700144
15000219 P-1-A-0003000282
15000466 P-1-A-0044300571
15000862 P-1-A-0029400434
15000517 P-1-A-0028300230
15000772 P-1-A-0016100394
15000082 P-1-A-0056100397
15000217 P-1-A-0001201539
