P-1-D-0016900431 B00010000735 1
P-1-B-0017100111 B00010000271 1
P-1-C-0050900413 B00010000976 1
P-1-D-0076500658 B00010000557 1
P-1-B-0148300627 B00010000438 1
P-1-D-0034200565 B00010000700 1
P-1-D-0002400033 B00010000616 1
P-1-C-0046000653 B00010000903 1
P-1-A-0038200446 B00010000097 1
P-1-D-0036500295 B00010000594 1
P-1-B-0140600250 B00010000401 1
P-1-C-0035800585 B00010000910 1
P-1-D-0006700681 B00010000537 1
P-1-D-0050300037 B00010000694 1
P-1-C-0026400141 B00010000770 1
P-1-C-0059100670 B00010000771 1
P-1-D-0033200534 B00010000663 1
P-1-B-0092101355 B00010000330 1
P-1-A-0046000011 B00010000086 1
P-1-A-0051900232 B00010000245 1
P-1-B-0009300352 B00010000470 1
P-1-B-0015700098 B00010000453 1
P-1-A-0018100073 B00010000188 1
P-1-C-0037900393 B00010000922 1
P-1-D-0042700225 B00010000607 1
P-1-A-0060000063 B00010000018 1
P-1-D-0023200206 B00010000528 1
P-1-A-0025500215 B00010000157 1
P-1-B-0029000374 B00010000381 1
P-1-C-0025700253 B00010000868 1
P-1-A-0019100040 B00010000198 1
P-1-B-0006300269 B00010000478 1
P-1-B-0024100186 B00010000409 1
P-1-B-0049900502 B00010000495 1
P-1-B-0019000588 B00010000376 1
P-1-A-0037500316 B00010000005 1
P-1-C-0025500031 B00010000853 1
P-1-C-0041100017 B00010000754 1
P-1-D-0132300145 B00010000577 1
P-1-D-0058200544 B00010000656 1
P-1-B-0012301717 B00010000335 1
P-1-C-0162700262 B00010000824 1
P-1-A-0019400264 B00010000182 1
P-1-A-0003500404 B00010000070 1
P-1-C-0007400227 B00010000884 1
P-1-A-0057901223 B00010000224 1
P-1-D-0020900225 B00010000533 1
P-1-D-0050600533 B00010000696 1
P-1-C-0038700617 B00010000872 1
P-1-C-0008400539 B00010000977 1
P-1-A-0046000146 B00010000231 1
P-1-C-0062300487 B00010000943 1
P-1-C-0032000347 B00010000987 1
P-1-D-0016200119 B00010000583 1
P-1-C-0001000009 B00010000938 1
P-1-C-0060200655 B00010000799 1
P-1-A-0096200041 B00010000128 1
P-1-C-0157200727 B00010000823 1
P-1-C-0004400164 B00010000974 1
P-1-C-0052500128 B00010000822 1
P-1-D-0024000653 B00010000536 1
P-1-C-0153601411 B00010000874 1
P-1-A-0117601715 B00010000181 1
P-1-A-0032600468 B00010000232 1
P-1-A-0008000042 B00010000117 1
P-1-A-0120401821 B00010000000 1
P-1-D-0032400357 B00010000573 1
P-1-D-0050200050 B00010000657 1
P-1-C-0013000515 B00010000832 1
P-1-D-0038400354 B00010000714 1
P-1-D-0188901282 B00010000726 1
P-1-C-0062900207 B00010000898 1
P-1-B-0001300024 B00010000378 1
P-1-A-0082900934 B00010000016 1
P-1-A-0031400316 B00010000237 1
P-1-C-0024600427 B00010000937 1
P-1-A-0052000216 B00010000043 1
P-1-A-0148701166 B00010000241 1
P-1-C-0048400021 B00010000842 1
P-1-B-0027200393 B00010000434 1
P-1-B-0009600140 B00010000360 1
P-1-B-0058100243 B00010000286 1
P-1-D-0043800298 B00010000582 1
P-1-A-0043800037 B00010000067 1
P-1-D-0016900115 B00010000576 1
P-1-C-0017900152 B00010000834 1
P-1-C-0035200078 B00010000843 1
P-1-A-0015800660 B00010000236 1
P-1-B-0050500335 B00010000368 1
P-1-D-0050601979 B00010000664 1
P-1-B-0049400390 B00010000302 1
P-1-D-0055100370 B00010000519 1
P-1-A-0025800332 B00010000076 1
P-1-D-0078801634 B00010000688 1
P-1-D-0181201125 B00010000625 1
P-1-B-0047000210 B00010000432 1
P-1-A-0048300428 B00010000092 1
P-1-A-0000800512 B00010000222 1
P-1-B-0107101209 B00010000480 1
P-1-B-0026200395 B00010000316 1
P-1-B-0030500648 B00010000254 1
P-1-C-0187500938 B00010000787 1
P-1-C-0007800020 B00010000996 1
P-1-C-0061700601 B00010000836 1
P-1-B-0043300283 B00010000307 1
P-1-A-0048600680 B00010000141 1
P-1-B-0060300330 B00010000391 1
P-1-D-0032600209 B00010000662 1
P-1-B-0051700488 B00010000380 1
P-1-D-0025600627 B00010000504 1
P-1-B-0039000074 B00010000269 1
P-1-A-0055200510 B00010000143 1
P-1-B-0026100232 B00010000259 1
P-1-C-0037500175 B00010000963 1
P-1-A-0017200288 B00010000111 1
P-1-B-0053200108 B00010000408 1
P-1-A-0063800289 B00010000206 1
P-1-A-0046500166 B00010000195 1
P-1-B-0013700343 B00010000395 1
P-1-A-0005800672 B00010000180 1
P-1-C-0036000108 B00010000846 1
P-1-D-0035300583 B00010000695 1
P-1-D-0056800201 B00010000514 1
P-1-B-0100401666 B00010000313 1
P-1-C-0035300395 B00010000767 1
P-1-A-0027600009 B00010000007 1
P-1-C-0022400474 B00010000776 1
P-1-B-0020500137 B00010000466 1
P-1-D-0029400596 B00010000535 1
P-1-B-0002500297 B00010000482 1
P-1-B-0063000103 B00010000467 1
P-1-A-0030100283 B00010000094 1
P-1-C-0017600522 B00010000790 1
P-1-A-0014700393 B00010000221 1
P-1-A-0029600134 B00010000059 1
P-1-D-0059000027 B00010000632 1
P-1-C-0029100163 B00010000844 1
P-1-A-0165001501 B00010000150 1
P-1-D-0032300096 B00010000620 1
P-1-D-0026000190 B00010000686 1
P-1-C-0039000660 B00010000765 1
P-1-B-0044600103 B00010000451 1
P-1-B-0004700007 B00010000403 1
P-1-A-0037900575 B00010000183 1
P-1-C-0010900610 B00010000939 1
P-1-A-0037000011 B00010000242 1
P-1-A-0031900120 B00010000002 1
P-1-D-0019000671 B00010000648 1
P-1-C-0027600253 B00010000878 1
P-1-B-0063400396 B00010000301 1
P-1-C-0022400628 B00010000807 1
P-1-B-0060100167 B00010000439 1
P-1-B-0051001297 B00010000460 1
P-1-C-0111501858 B00010000918 1
P-1-A-0063900298 B00010000115 1
P-1-D-0037300444 B00010000707 1
P-1-D-0059300662 B00010000613 1
P-1-A-0031401541 B00010000168 1
P-1-C-0047800297 B00010000983 1
P-1-A-0032100572 B00010000120 1
P-1-A-0015100002 B00010000166 1
P-1-A-0045000530 B00010000020 1
P-1-A-0060600514 B00010000126 1
P-1-A-0143801027 B00010000201 1
P-1-C-0059900399 B00010000912 1
P-1-D-0039500254 B00010000600 1
P-1-D-0046900320 B00010000724 1
P-1-A-0075301571 B00010000081 1
P-1-D-0062500366 B00010000603 1
P-1-A-0083501460 B00010000228 1
P-1-B-0040400590 B00010000384 1
P-1-B-0010100560 B00010000315 1
P-1-B-0063100526 B00010000483 1
P-1-A-0045600300 B00010000211 1
P-1-D-0035600210 B00010000715 1
P-1-D-0013800556 B00010000532 1
P-1-D-0056200026 B00010000615 1
P-1-D-0024100340 B00010000558 1
P-1-C-0027500388 B00010000905 1
P-1-D-0028200400 B00010000539 1
P-1-A-0181300445 B00010000069 1
P-1-A-0002400294 B00010000179 1
P-1-C-0174500556 B00010000766 1
P-1-B-0010501381 B00010000442 1
P-1-C-0053000046 B00010000961 1
P-1-A-0033600197 B00010000227 1
P-1-A-0157900104 B00010000044 1
P-1-B-0115800258 B00010000461 1
P-1-D-0172501104 B00010000540 1
P-1-C-0045400480 B00010000887 1
