15000444 16200 0 B00010000444
15000208 9000 0 B00010000208
15000313 10800 0 B00010000313
15000137 3600 0 B00010000137
15000565 27000 0 B00010000565
15000898 34200 0 B00010000898
15000762 30600 0 B00010000762
15000143 9000 0 B00010000143
15000446 16200 0 B00010000446
15000614 27000 0 B00010000614
15000289 10800 0 B00010000289
15000258 9000 0 B00010000258
15000767 30600 0 B00010000767
15000178 9000 0 B00010000178
15000196 9000 0 B00010000196
15000556 16200 0 B00010000556
15000102 3600 0 B00010000102
15000585 27000 0 B00010000585
15000172 9000 0 B00010000172
15000084 3600 0 B00010000084
15000398 10800 0 B00010000398
15000965 34200 0 B00010000965
15000685 27000 0 B00010000685
15000063 3600 0 B00010000063
15000961 34200 0 B00010000961
15000947 34200 0 B00010000947
15000881 34200 0 B00010000881
15000659 27000 0 B00010000659
15000405 10800 0 B00010000405
15000787 30600 0 B00010000787
15000654 27000 0 B00010000654
15000025 3600 0 B00010000025
15000157 9000 0 B00010000157
15000748 30600 0 B00010000748
15000472 16200 0 B00010000472
15000700 30600 0 B00010000700
15000806 30600 0 B00010000806
15000170 9000 0 B00010000170
15000770 30600 0 B00010000770
15000215 9000 0 B00010000215
15000874 34200 0 B00010000874
15000827 30600 0 B00010000827
15000359 10800 0 B00010000359
15000933 34200 0 B00010000933
15000291 10800 0 B00010000291
15000101 3600 0 B00010000101
15000923 34200 0 B00010000923
15000141 9000 0 B00010000141
15000322 10800 0 B00010000322
15000951 34200 0 B00010000951
15000681 27000 0 B00010000681
15000487 16200 0 B00010000487
15000485 16200 0 B00010000485
15000237 9000 0 B00010000237
15000638 27000 0 B00010000638
15000285 10800 0 B00010000285
15000271 9000 0 B00010000271
15000409 10800 0 B00010000409
15000498 16200 0 B00010000498
15000406 10800 0 B00010000406
15000261 9000 0 B00010000261
15000883 34200 0 B00010000883
15000080 3600 0 B00010000080
15000358 10800 0 B00010000358
15000314 10800 0 B00010000314
15000150 9000 0 B00010000150
15000902 34200 0 B00010000902
15000993 34200 0 B00010000993
15000345 10800 0 B00010000345
15000815 30600 0 B00010000815
15000270 9000 0 B00010000270
15000568 27000 0 B00010000568
15000729 30600 0 B00010000729
15000549 16200 0 B00010000549
15000144 9000 0 B00010000144
